Provider_Admin1_Name,Provider_Admin2_Name,Admin1_Name,Admin2_Name,Market_Name,Latitude,Longitude,Commodity_Category,Commodity_Name,Unit,Price_Type,Price,Reference_Period_Start,Reference_Period_End,Standardized_Price,Start_Month,End_Month,Price_Mean,Price_Median,Price_Std
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Cereals and Tubers,Rice (medium grain),KG,Retail,247.5,2025-01-15,2025-02-14,247.5,1,2,218.20544423440452,220.0,26.085555016741488
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,"Meat, Fish and Eggs",Eggs,Unit,Retail,33.85,2025-01-15,2025-02-14,33.85,1,2,44.80140549273021,46.69,9.24456625823771
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,,"Fish (dry, katta)",KG,Retail,2057.5,2025-01-15,2025-02-14,2057.5,1,2,2059.112420634921,2080.99,265.5405997706087
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,"Meat, Fish and Eggs",Fish (goldstripe sardinella),KG,Retail,980.0,2025-01-15,2025-02-14,980.0,1,2,870.5199785867238,885.0,238.00393899659846
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,"Meat, Fish and Eggs",Fish (skipjack tuna),KG,Retail,1163.0,2025-01-15,2025-02-14,1163.0,1,2,1150.981957364341,1147.5,315.69451989647536
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,"Meat, Fish and Eggs",Fish (trenched sardinella),KG,Retail,1150.0,2025-01-15,2025-02-14,1150.0,1,2,894.0900189035917,900.0,201.93395714513966
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,"Meat, Fish and Eggs",Fish (yellowfin tuna),KG,Retail,1929.0,2025-01-15,2025-02-14,1929.0,1,2,1908.8589159292035,1992.81,403.4688856924188
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Miscellaneous Food,"Chili (red, dry raw)",KG,Retail,821.5,2025-01-15,2025-02-14,821.5,1,2,971.5972585669781,892.25,238.44665516831964
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Pulses and Nuts,Beans,KG,Retail,558.0,2025-01-15,2025-02-14,558.0,1,2,526.7304097116844,516.0,161.3804354203384
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Pulses and Nuts,Beans (mung),KG,Retail,727.0,2025-01-15,2025-02-14,727.0,1,2,972.9967135325132,957.5,220.88730201978925
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Pulses and Nuts,"Cowpeas (whole, average)",KG,Retail,770.0,2025-01-15,2025-02-14,770.0,1,2,915.2490644490645,877.5,161.35794398814483
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Pulses and Nuts,Lentils,KG,Retail,306.4,2025-01-15,2025-02-14,306.4,1,2,306.16806239737275,308.33,37.6622452546459
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Vegetables and Fruits,Bananas,KG,Retail,208.0,2025-01-15,2025-02-14,208.0,1,2,181.76804918032786,185.0,38.973371751900835
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,,Cabbage,KG,Retail,229.0,2025-01-15,2025-02-14,229.0,1,2,322.53571658615135,305.5,139.26128168352795
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Vegetables and Fruits,Carrots,KG,Retail,412.0,2025-01-15,2025-02-14,412.0,1,2,457.17008169934644,397.75,263.51797037047874
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Vegetables and Fruits,Onions (imported),KG,Retail,277.0,2025-01-15,2025-02-14,277.0,1,2,290.4316552901024,262.0,121.35916415302974
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Vegetables and Fruits,Papaya,KG,Retail,185.5,2025-01-15,2025-02-14,185.5,1,2,189.84429508196723,188.66500000000002,50.57447896329415
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Vegetables and Fruits,Pumpkin,KG,Retail,176.0,2025-01-15,2025-02-14,176.0,1,2,196.63351963746223,192.0,63.05484524662659
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Vegetables and Fruits,Snake gourd,KG,Retail,218.0,2025-01-15,2025-02-14,218.0,1,2,298.74733333333336,302.0,83.97773182060848
Central,Kandy,Central,Kandy,Kandy,7.29,80.59,Vegetables and Fruits,Tomatoes,KG,Retail,369.0,2025-01-15,2025-02-14,369.0,1,2,359.6504306220096,318.0,180.35058011610832
Central,Matale,Central,Matale,Matale,7.47,80.62,Cereals and Tubers,Potatoes (imported),KG,Retail,207.5,2025-01-15,2025-02-14,207.5,1,2,216.12493827160492,214.5,33.30961189849467
Central,Matale,Central,Matale,Matale,7.47,80.62,Cereals and Tubers,Potatoes (local),KG,Retail,457.5,2025-01-15,2025-02-14,457.5,1,2,383.54620111731845,394.575,81.20802178562654
Central,Matale,Central,Matale,Matale,7.47,80.62,"Meat, Fish and Eggs",Eggs,Unit,Retail,32.94,2025-01-15,2025-02-14,32.94,1,2,44.80140549273021,46.69,9.24456625823771
Central,Matale,Central,Matale,Matale,7.47,80.62,,"Fish (dry, katta)",KG,Retail,2250.0,2025-01-15,2025-02-14,2250.0,1,2,2059.112420634921,2080.99,265.5405997706087
Central,Matale,Central,Matale,Matale,7.47,80.62,"Meat, Fish and Eggs","Fish (dry, sprats)",KG,Retail,1106.25,2025-01-15,2025-02-14,1106.25,1,2,1144.8310645724257,1155.0,146.33971610444323
Central,Matale,Central,Matale,Matale,7.47,80.62,"Meat, Fish and Eggs",Fish (goldstripe sardinella),KG,Retail,816.25,2025-01-15,2025-02-14,816.25,1,2,870.5199785867238,885.0,238.00393899659846
Central,Matale,Central,Matale,Matale,7.47,80.62,"Meat, Fish and Eggs",Fish (sail fish),KG,Retail,2275.0,2025-01-15,2025-02-14,2275.0,1,2,2100.931306122449,2250.0,438.52500397421113
Central,Matale,Central,Matale,Matale,7.47,80.62,"Meat, Fish and Eggs",Fish (skipjack tuna),KG,Retail,1250.0,2025-01-15,2025-02-14,1250.0,1,2,1150.981957364341,1147.5,315.69451989647536
Central,Matale,Central,Matale,Matale,7.47,80.62,"Meat, Fish and Eggs",Fish (trenched sardinella),KG,Retail,1137.5,2025-01-15,2025-02-14,1137.5,1,2,894.0900189035917,900.0,201.93395714513966
Central,Matale,Central,Matale,Matale,7.47,80.62,Miscellaneous Food,"Chili (red, dry raw)",KG,Retail,816.88,2025-01-15,2025-02-14,816.88,1,2,971.5972585669781,892.25,238.44665516831964
Central,Matale,Central,Matale,Matale,7.47,80.62,Pulses and Nuts,Beans,KG,Retail,512.0,2025-01-15,2025-02-14,512.0,1,2,526.7304097116844,516.0,161.3804354203384
Central,Matale,Central,Matale,Matale,7.47,80.62,Pulses and Nuts,Beans (mung),KG,Retail,733.12,2025-01-15,2025-02-14,733.12,1,2,972.9967135325132,957.5,220.88730201978925
Central,Matale,Central,Matale,Matale,7.47,80.62,Vegetables and Fruits,Bananas,KG,Retail,191.0,2025-01-15,2025-02-14,191.0,1,2,181.76804918032786,185.0,38.973371751900835
Central,Matale,Central,Matale,Matale,7.47,80.62,,Cabbage,KG,Retail,222.0,2025-01-15,2025-02-14,222.0,1,2,322.53571658615135,305.5,139.26128168352795
Central,Matale,Central,Matale,Matale,7.47,80.62,Vegetables and Fruits,Carrots,KG,Retail,370.0,2025-01-15,2025-02-14,370.0,1,2,457.17008169934644,397.75,263.51797037047874
Central,Matale,Central,Matale,Matale,7.47,80.62,Vegetables and Fruits,Eggplants,KG,Retail,364.67,2025-01-15,2025-02-14,364.67,1,2,335.8518524590164,322.33500000000004,123.78242701123881
Central,Matale,Central,Matale,Matale,7.47,80.62,Vegetables and Fruits,Onions (imported),KG,Retail,238.75,2025-01-15,2025-02-14,238.75,1,2,290.4316552901024,262.0,121.35916415302974
Central,Matale,Central,Matale,Matale,7.47,80.62,,"Onions (red, imported)",KG,Retail,570.0,2025-01-15,2025-02-14,570.0,1,2,436.42263922518157,443.17,96.02768649130284
Central,Matale,Central,Matale,Matale,7.47,80.62,Vegetables and Fruits,Papaya,KG,Retail,198.75,2025-01-15,2025-02-14,198.75,1,2,189.84429508196723,188.66500000000002,50.57447896329415
Central,Matale,Central,Matale,Matale,7.47,80.62,Vegetables and Fruits,Pineapples,KG,Retail,351.88,2025-01-15,2025-02-14,351.88,1,2,449.00745762711864,426.0,137.01917872690612
Central,Matale,Central,Matale,Matale,7.47,80.62,Vegetables and Fruits,Pumpkin,KG,Retail,208.0,2025-01-15,2025-02-14,208.0,1,2,196.63351963746223,192.0,63.05484524662659
Central,Matale,Central,Matale,Matale,7.47,80.62,Vegetables and Fruits,Snake gourd,KG,Retail,252.0,2025-01-15,2025-02-14,252.0,1,2,298.74733333333336,302.0,83.97773182060848
Central,Matale,Central,Matale,Matale,7.47,80.62,Vegetables and Fruits,Tomatoes,KG,Retail,354.0,2025-01-15,2025-02-14,354.0,1,2,359.6504306220096,318.0,180.35058011610832
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,Cereals and Tubers,Potatoes (imported),KG,Retail,207.83,2025-01-15,2025-02-14,207.83,1,2,216.12493827160492,214.5,33.30961189849467
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,Cereals and Tubers,Rice (medium grain),KG,Retail,230.0,2025-01-15,2025-02-14,230.0,1,2,218.20544423440452,220.0,26.085555016741488
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,Cereals and Tubers,Rice (white),KG,Retail,260.0,2025-01-15,2025-02-14,260.0,1,2,202.83024132730017,239.58,74.66723897449664
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,,"Fish (dry, katta)",KG,Retail,2072.92,2025-01-15,2025-02-14,2072.92,1,2,2059.112420634921,2080.99,265.5405997706087
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,"Meat, Fish and Eggs","Fish (dry, sprats)",KG,Retail,1037.5,2025-01-15,2025-02-14,1037.5,1,2,1144.8310645724257,1155.0,146.33971610444323
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,"Meat, Fish and Eggs",Fish (goldstripe sardinella),KG,Retail,803.12,2025-01-15,2025-02-14,803.12,1,2,870.5199785867238,885.0,238.00393899659846
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,"Meat, Fish and Eggs",Fish (jack),KG,Retail,1600.0,2025-01-15,2025-02-14,1600.0,1,2,1665.9726043737573,1654.0,351.0888016334997
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,"Meat, Fish and Eggs",Fish (yellowfin tuna),KG,Retail,2200.0,2025-01-15,2025-02-14,2200.0,1,2,1908.8589159292035,1992.81,403.4688856924188
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,"Meat, Fish and Eggs","Meat (chicken, broiler)",KG,Retail,955.56,2025-01-15,2025-02-14,955.56,1,2,1239.2873696145125,1210.21,152.78614794533686
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,Miscellaneous Food,"Chili (red, dry raw)",KG,Retail,806.5,2025-01-15,2025-02-14,806.5,1,2,971.5972585669781,892.25,238.44665516831964
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,Pulses and Nuts,Beans,KG,Retail,380.62,2025-01-15,2025-02-14,380.62,1,2,526.7304097116844,516.0,161.3804354203384
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,Pulses and Nuts,Beans (mung),KG,Retail,661.5,2025-01-15,2025-02-14,661.5,1,2,972.9967135325132,957.5,220.88730201978925
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,Pulses and Nuts,Lentils,KG,Retail,287.8,2025-01-15,2025-02-14,287.8,1,2,306.16806239737275,308.33,37.6622452546459
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,,Cabbage,KG,Retail,146.42,2025-01-15,2025-02-14,146.42,1,2,322.53571658615135,305.5,139.26128168352795
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,Vegetables and Fruits,Carrots,KG,Retail,275.38,2025-01-15,2025-02-14,275.38,1,2,457.17008169934644,397.75,263.51797037047874
Central,Nuwara Eliya,Central,Nuwara Eliya,Hanguranketha,7.18,80.78,Vegetables and Fruits,Coconut,Unit,Retail,152.08,2025-01-15,2025-02-14,152.08,1,2,95.12499075785583,85.95,32.416444401550294
